2,0x9e,0x1e
4,0x54,0x55
4,0x57,0x55
12,0x40,0x41
13,0x54,0x55
30,0x97,0x95
30,0x85,0x95
30,0xb5,0x95
35,0x88,0x89
35,0x8b,0x89
35,0x8d,0x89
35,0x09,0x89
36,0x8f,0x8d
36,0x85,0x8d
36,0x9d,0x8d
36,0xad,0x8d
37,0x35,0x34
37,0x36,0x34
37,0x30,0x34
37,0x3c,0x34
37,0x24,0x34
37,0x14,0x34
37,0x74,0x34
37,0xb4,0x34
38,0xfe,0xff
38,0xfd,0xff
38,0xfb,0xff
38,0xf7,0xff
38,0xef,0xff
38,0xdf,0xff
38,0xbf,0xff
38,0x7f,0xff
39,0xfe,0xff
39,0xfd,0xff
39,0xfb,0xff
39,0xf7,0xff
39,0xef,0xff
39,0xdf,0xff
39,0xbf,0xff
61,0xb5,0xbd
73,0x40,0x44
74,0x88,0x89
74,0x8b,0x89
74,0x8d,0x89
74,0x09,0x89
75,0x87,0x85
75,0x8d,0x85
75,0x95,0x85
75,0xa5,0x85
76,0x4d,0x4c
76,0x4e,0x4c
76,0x48,0x4c
76,0x5c,0x4c
76,0x6c,0x4c
76,0x0c,0x4c
76,0xcc,0x4c
77,0xfe,0xff
77,0xfd,0xff
77,0xfb,0xff
77,0xf7,0xff
77,0xef,0xff
77,0xdf,0xff
77,0xbf,0xff
77,0x7f,0xff
78,0xfe,0xff
78,0xfd,0xff
78,0xfb,0xff
78,0xf7,0xff
78,0xef,0xff
78,0xdf,0xff
78,0xbf,0xff
170,0x96,0xb6
170,0xf6,0xb6
171,0x8f,0x8d
171,0x85,0x8d
171,0x9d,0x8d
171,0x0d,0x8d
172,0x6d,0x6c
172,0x6e,0x6c
172,0x7c,0x6c
172,0x4c,0x6c
173,0xfe,0xff
173,0xfd,0xff
173,0xfb,0xff
173,0xf7,0xff
173,0xef,0xff
173,0xdf,0xff
173,0xbf,0xff
173,0x7f,0xff
174,0xfe,0xff
174,0xfd,0xff
174,0xfb,0xff
174,0xf7,0xff
174,0xef,0xff
174,0xdf,0xff
174,0xbf,0xff
175,0xf7,0xff
181,0x4c,0x48
183,0xb5,0xa5
190,0x77,0x75
191,0xa1,0xa0
191,0xa2,0xa0
191,0xa4,0xa0
191,0xa8,0xa0
191,0x80,0xa0
193,0x87,0x85
194,0x49,0x48
194,0x4a,0x48
194,0x4c,0x48
194,0x68,0x48
194,0x08,0x48
195,0xfe,0xff
195,0xfd,0xff
195,0xfb,0xff
195,0xf7,0xff
195,0xef,0xff
195,0xdf,0xff
195,0xbf,0xff
195,0x7f,0xff
196,0xfe,0xff
196,0xfd,0xff
196,0xfb,0xff
196,0xf7,0xff
196,0xef,0xff
196,0xdf,0xff
196,0xbf,0xff
198,0x01,0x00
198,0x02,0x00
198,0x04,0x00
198,0x08,0x00
198,0x10,0x00
198,0x20,0x00
198,0x40,0x00
198,0x80,0x00
199,0x01,0x00
199,0x02,0x00
199,0x04,0x00
199,0x08,0x00
199,0x10,0x00
199,0x20,0x00
199,0x40,0x00
199,0x80,0x00
200,0x01,0x00
200,0x02,0x00
200,0x04,0x00
200,0x08,0x00
200,0x10,0x00
200,0x20,0x00
200,0x40,0x00
200,0x80,0x00
201,0x01,0x00
201,0x02,0x00
201,0x04,0x00
201,0x08,0x00
201,0x10,0x00
201,0x20,0x00
201,0x40,0x00
201,0x80,0x00
203,0x8c,0x8d
203,0x89,0x8d
203,0x85,0x8d
203,0x0d,0x8d
204,0x6f,0x6d
204,0x65,0x6d
204,0x7d,0x6d
204,0x4d,0x6d
205,0x81,0x80
205,0x82,0x80
205,0x84,0x80
205,0x88,0x80
205,0x90,0x80
205,0xa0,0x80
206,0xd1,0xd3
206,0xdb,0xd3
207,0xe1,0xe0
207,0xe2,0xe0
209,0xe0,0xe8
210,0x03,0x01
210,0x05,0x01
210,0x09,0x01
210,0x11,0x01
210,0x21,0x01
210,0x41,0x01
211,0x88,0x89
211,0x8b,0x89
211,0x8d,0x89
212,0x87,0x85
212,0x8d,0x85
213,0x31,0x30
213,0x32,0x30
213,0x34,0x30
213,0x20,0x30
213,0x10,0x30
213,0x70,0x30
213,0xb0,0x30
214,0xfe,0xff
214,0xfd,0xff
214,0xfb,0xff
214,0xf7,0xff
214,0xef,0xff
214,0xdf,0xff
214,0xbf,0xff
214,0x7f,0xff
215,0xfe,0xff
215,0xfd,0xff
215,0xfb,0xff
215,0xf7,0xff
215,0xef,0xff
215,0xdf,0xff
215,0xbf,0xff
217,0x8a,0x8b
217,0x89,0x8b
217,0x0b,0x8b
218,0x9d,0x95
218,0x85,0x95
218,0xb5,0x95
218,0x15,0x95
219,0x49,0x48
219,0x4a,0x48
219,0x4c,0x48
219,0x40,0x48
219,0x58,0x48
219,0x68,0x48
219,0x08,0x48
219,0xc8,0x48
220,0xfe,0xff
220,0xfd,0xff
220,0xfb,0xff
220,0xf7,0xff
220,0xef,0xff
220,0xdf,0xff
220,0xbf,0xff
220,0x7f,0xff
221,0xfe,0xff
221,0xfd,0xff
221,0xfb,0xff
221,0xf7,0xff
221,0xef,0xff
221,0xdf,0xff
221,0xbf,0xff
222,0xf7,0xff
225,0xe7,0xf7
226,0x02,0x03
226,0x01,0x03
226,0x23,0x03
227,0x97,0x95
227,0x9d,0x95
227,0x85,0x95
227,0xb5,0x95
227,0x15,0x95
228,0x4d,0x4c
228,0x4e,0x4c
228,0x48,0x4c
228,0x44,0x4c
228,0x5c,0x4c
228,0x6c,0x4c
228,0x0c,0x4c
228,0xcc,0x4c
229,0xfe,0xff
229,0xfd,0xff
229,0xfb,0xff
229,0xf7,0xff
229,0xef,0xff
229,0xdf,0xff
229,0xbf,0xff
229,0x7f,0xff
230,0xfe,0xff
230,0xfd,0xff
230,0xfb,0xff
230,0xf7,0xff
230,0xef,0xff
230,0xdf,0xff
230,0xbf,0xff
231,0xf7,0xff
249,0x40,0x60
253,0xf7,0xff
253,0xdf,0xff
254,0xc0,0xd0
254,0xf0,0xd0
255,0x89,0x8b
255,0x8f,0x8b
256,0x8d,0x85
256,0x95,0x85
256,0xa5,0x85
257,0x6d,0x6c
257,0x7c,0x6c
257,0x4c,0x6c
258,0xfe,0xff
258,0xfb,0xff
258,0xf7,0xff
258,0xef,0xff
258,0xdf,0xff
258,0xbf,0xff
258,0x7f,0xff
259,0xfe,0xff
259,0xfd,0xff
259,0xfb,0xff
259,0xf7,0xff
259,0xef,0xff
259,0xdf,0xff
259,0xbf,0xff
260,0xf7,0xff
261,0x87,0x85
262,0xc1,0xc0
262,0xc2,0xc0
262,0xc4,0xc0
262,0xc8,0xc0
262,0xd0,0xc0
262,0xe0,0xc0
264,0x85,0x84
269,0x0b,0x8b
270,0x1d,0x9d
271,0x40,0x48
271,0x58,0x48
271,0x68,0x48
271,0xc8,0x48
272,0xfe,0xff
272,0xfd,0xff
275,0x8a,0x8b
275,0x89,0x8b
275,0x8f,0x8b
276,0x8d,0x85
276,0x95,0x85
277,0x31,0x30
277,0x32,0x30
277,0x34,0x30
277,0x20,0x30
277,0x10,0x30
278,0xfb,0xff
278,0xf7,0xff
278,0xef,0xff
278,0xdf,0xff
278,0xbf,0xff
278,0x7f,0xff
279,0xfe,0xff
279,0xfd,0xff
279,0xfb,0xff
279,0xf7,0xff
279,0xef,0xff
279,0xdf,0xff
279,0xbf,0xff
280,0xf7,0xff
281,0x45,0x44
282,0x8a,0x8b
282,0x89,0x8b
282,0x0b,0x8b
283,0x95,0x9d
283,0x8d,0x9d
283,0xbd,0x9d
283,0x1d,0x9d
284,0x35,0x34
284,0x36,0x34
284,0x30,0x34
284,0x3c,0x34
284,0x24,0x34
284,0x14,0x34
284,0x74,0x34
284,0xb4,0x34
285,0xfe,0xff
285,0xfd,0xff
285,0xfb,0xff
285,0xf7,0xff
285,0xef,0xff
285,0xdf,0xff
285,0xbf,0xff
285,0x7f,0xff
286,0xfe,0xff
286,0xfd,0xff
286,0xfb,0xff
286,0xf7,0xff
286,0xef,0xff
286,0xdf,0xff
286,0xbf,0xff
287,0xf7,0xff
288,0x38,0x39
288,0x3b,0x39
288,0x31,0x39
288,0x29,0x39
288,0x19,0x39
289,0xc2,0xc3
289,0xc1,0xc3
289,0xc7,0xc3
290,0x8a,0x8b
290,0x89,0x8b
290,0x83,0x8b
290,0x0b,0x8b
291,0x8d,0x85
291,0x95,0x85
291,0x05,0x85
292,0x4d,0x4c
292,0x4e,0x4c
292,0x48,0x4c
292,0x44,0x4c
292,0x5c,0x4c
292,0x6c,0x4c
292,0x0c,0x4c
292,0xcc,0x4c
293,0xfe,0xff
293,0xfd,0xff
293,0xfb,0xff
293,0xf7,0xff
293,0xef,0xff
293,0xdf,0xff
293,0xbf,0xff
293,0x7f,0xff
294,0xfe,0xff
294,0xfd,0xff
294,0xfb,0xff
294,0xf7,0xff
294,0xef,0xff
294,0xdf,0xff
294,0xbf,0xff
295,0xf7,0xff
296,0x40,0x41
296,0x45,0x41
296,0x51,0x41
297,0x88,0x89
297,0x8b,0x89
297,0x09,0x89
298,0xdb,0xdf
298,0xd7,0xdf
298,0xcf,0xdf
298,0xff,0xdf
300,0x93,0x92
300,0x90,0x92
300,0x9a,0x92
302,0x4b,0x6b
303,0xfe,0xff
304,0xfb,0xff
304,0xf7,0xff
304,0xef,0xff
304,0xdf,0xff
304,0xbf,0xff
309,0x88,0x89
309,0x8b,0x89
309,0x8d,0x89
309,0x09,0x89
310,0x8d,0x85
310,0x95,0x85
310,0xa5,0x85
311,0x7d,0x7c
311,0x7e,0x7c
311,0x78,0x7c
311,0x74,0x7c
311,0xfc,0x7c
312,0xfe,0xff
312,0xfd,0xff
312,0xfb,0xff
312,0xf7,0xff
312,0xef,0xff
312,0xdf,0xff
312,0xbf,0xff
312,0x7f,0xff
313,0xfe,0xff
313,0xfd,0xff
313,0xfb,0xff
313,0xf7,0xff
313,0xef,0xff
313,0xdf,0xff
313,0xbf,0xff
315,0x45,0x44
316,0x8b,0x89
316,0x09,0x89
317,0xd2,0xd3
317,0xd1,0xd3
317,0xd7,0xd3
319,0x99,0x9b
329,0x0b,0x03
329,0x13,0x03
331,0x50,0x58
335,0x40,0x41
335,0x51,0x41
337,0xc6,0xc7
337,0xc5,0xc7
337,0xc3,0xc7
338,0x00,0x01
338,0x03,0x01
338,0x05,0x01
338,0x09,0x01
338,0x11,0x01
338,0x21,0x01
338,0x41,0x01
338,0x81,0x01
339,0x74,0x75
339,0x71,0x75
339,0x7d,0x75
340,0x05,0x0d
341,0xc0,0x80
342,0x3d,0xbd
343,0x6f,0x6b
343,0x7b,0x6b
343,0x4b,0x6b
344,0xfe,0xff
344,0xfd,0xff
344,0xf7,0xff
344,0xef,0xff
344,0xdf,0xff
344,0xbf,0xff
344,0x7f,0xff
345,0xfe,0xff
345,0xfd,0xff
345,0xfb,0xff
345,0xf7,0xff
345,0xef,0xff
345,0xdf,0xff
345,0xbf,0xff
346,0xf7,0xff
347,0x01,0x00
348,0x8f,0x0f
349,0x84,0x85
350,0xef,0xee
350,0xce,0xee
357,0x48,0x4c
359,0xef,0xe7
359,0xf7,0xe7
360,0x45,0x44
360,0x40,0x44
360,0x4c,0x44
360,0x54,0x44
361,0x88,0x89
361,0x8b,0x89
361,0x8d,0x89
361,0x09,0x89
362,0x95,0x9d
362,0x8d,0x9d
362,0xbd,0x9d
363,0x79,0x78
363,0x7a,0x78
363,0x7c,0x78
363,0x70,0x78
363,0x68,0x78
363,0xf8,0x78
364,0xfe,0xff
364,0xfd,0xff
364,0xfb,0xff
364,0xf7,0xff
364,0xef,0xff
364,0xdf,0xff
364,0xbf,0xff
364,0x7f,0xff
365,0xfe,0xff
365,0xfd,0xff
365,0xfb,0xff
365,0xf7,0xff
365,0xef,0xff
365,0xdf,0xff
365,0xbf,0xff
367,0xc1,0x41
368,0xd0,0xd1
368,0xd3,0xd1
369,0xeb,0xef
369,0xe7,0xef
369,0xcf,0xef
370,0x88,0x89
370,0x09,0x89
371,0xda,0xde
371,0xd6,0xde
371,0xce,0xde
371,0xfe,0xde
374,0xa5,0x85
379,0xd0,0xd1
379,0xd3,0xd1
379,0xd9,0xd1
380,0xa5,0xad
381,0x7d,0x7c
381,0x7e,0x7c
381,0x78,0x7c
381,0x6c,0x7c
381,0xfc,0x7c
382,0xfe,0xff
382,0xfd,0xff
382,0xfb,0xff
382,0xf7,0xff
382,0xef,0xff
382,0xdf,0xff
382,0xbf,0xff
382,0x7f,0xff
383,0xfe,0xff
383,0xfd,0xff
383,0xfb,0xff
383,0xf7,0xff
383,0xef,0xff
383,0xdf,0xff
383,0xbf,0xff
385,0x68,0xe8
386,0x08,0x0a
386,0x02,0x0a
386,0x1a,0x0a
386,0x8a,0x0a
387,0xe8,0xe9
390,0x8a,0x8b
390,0x89,0x8b
390,0x0b,0x8b
391,0x87,0x85
391,0x8d,0x85
391,0x95,0x85
391,0x05,0x85
392,0x7d,0x7c
392,0x7e,0x7c
392,0x78,0x7c
392,0x74,0x7c
392,0x6c,0x7c
392,0x5c,0x7c
392,0x3c,0x7c
392,0xfc,0x7c
393,0xfe,0xff
393,0xfd,0xff
393,0xfb,0xff
393,0xf7,0xff
393,0xef,0xff
393,0xdf,0xff
393,0xbf,0xff
393,0x7f,0xff
394,0xfe,0xff
394,0xfd,0xff
394,0xfb,0xff
394,0xf7,0xff
394,0xef,0xff
394,0xdf,0xff
394,0xbf,0xff
395,0xf7,0xff
396,0x4d,0x4c
396,0x48,0x4c
398,0xef,0xe7
398,0xf7,0xe7
398,0x67,0xe7
399,0x40,0x41
399,0x43,0x41
399,0x51,0x41
401,0x14,0x34
402,0x06,0x07
402,0x03,0x07
402,0x0f,0x07
402,0x17,0x07
402,0x27,0x07
402,0x47,0x07
402,0x87,0x07
403,0x68,0xe8
404,0x00,0x08
404,0x88,0x08
408,0x49,0x4d
410,0xe8,0xe0
410,0xf0,0xe0
412,0x03,0x02
412,0x00,0x02
412,0x06,0x02
412,0x0a,0x02
412,0x12,0x02
412,0x22,0x02
412,0x42,0x02
412,0x82,0x02
413,0x01,0x00
416,0x48,0x4c
418,0xe6,0xee
420,0x0b,0x8b
422,0x60,0x70
422,0x50,0x70
429,0x70,0x60
429,0x40,0x60
433,0x4d,0x4c
433,0x48,0x4c
434,0x88,0x89
434,0x8b,0x89
434,0x81,0x89
434,0xa9,0x89
435,0xf6,0xf7
435,0xe7,0xf7
435,0x77,0xf7
436,0x73,0xf3
438,0x7f,0x6f
439,0x01,0x00
439,0x08,0x00
439,0x10,0x00
439,0x20,0x00
439,0x40,0x00
442,0x7f,0x6f
443,0x49,0x48
443,0x40,0x48
443,0x58,0x48
443,0x68,0x48
444,0x11,0x10
444,0x12,0x10
444,0x14,0x10
444,0x18,0x10
444,0x00,0x10
444,0x30,0x10
444,0x50,0x10
444,0x90,0x10
445,0x45,0x41
446,0x0d,0x0f
446,0x4f,0x0f
447,0x10,0x11
447,0x13,0x11
447,0x15,0x11
447,0x19,0x11
447,0x01,0x11
447,0x51,0x11
447,0x91,0x11
448,0x4d,0x45
448,0x55,0x45
448,0x65,0x45
448,0xc5,0x45
449,0x01,0x00
449,0x02,0x00
449,0x04,0x00
449,0x08,0x00
449,0x10,0x00
449,0x20,0x00
449,0x80,0x00
450,0x40,0x41
450,0x45,0x41
450,0x51,0x41
450,0x01,0x41
450,0xc1,0x41
451,0x4f,0x0f
452,0x10,0x11
452,0x13,0x11
452,0x15,0x11
452,0x19,0x11
452,0x01,0x11
452,0x51,0x11
452,0x91,0x11
453,0x45,0x4d
453,0x5d,0x4d
453,0x6d,0x4d
453,0xcd,0x4d
454,0x11,0x10
454,0x12,0x10
454,0x14,0x10
454,0x18,0x10
454,0x00,0x10
454,0x30,0x10
454,0x90,0x10
455,0xf8,0xe8
455,0x68,0xe8
457,0xab,0xa9
460,0x45,0x44
461,0x8a,0x8b
461,0x89,0x8b
461,0x0b,0x8b
462,0x99,0x9d
462,0x95,0x9d
462,0x8d,0x9d
462,0xbd,0x9d
462,0x1d,0x9d
463,0x79,0x78
463,0x7a,0x78
463,0x7c,0x78
463,0x70,0x78
463,0x68,0x78
463,0x58,0x78
463,0x38,0x78
463,0xf8,0x78
464,0xfe,0xff
464,0xfd,0xff
464,0xfb,0xff
464,0xf7,0xff
464,0xef,0xff
464,0xdf,0xff
464,0xbf,0xff
464,0x7f,0xff
465,0xfe,0xff
465,0xfd,0xff
465,0xfb,0xff
465,0xf7,0xff
465,0xef,0xff
465,0xdf,0xff
465,0xbf,0xff
466,0xf7,0xff
467,0xc1,0x41
468,0xd0,0xd1
468,0xd3,0xd1
468,0xd9,0xd1
469,0xea,0xeb
469,0xe9,0xeb
469,0xef,0xeb
469,0xe3,0xeb
469,0xcb,0xeb
476,0x75,0x74
476,0x76,0x74
476,0x7c,0x74
478,0x45,0x44
478,0x40,0x44
478,0x54,0x44
478,0x64,0x44
479,0x88,0x89
479,0x8b,0x89
479,0x09,0x89
480,0xd8,0xda
480,0xde,0xda
480,0xd2,0xda
480,0xca,0xda
480,0xfa,0xda
483,0x45,0x44
483,0x40,0x44
483,0x54,0x44
483,0x64,0x44
484,0x30,0x31
484,0x33,0x31
484,0x39,0x31
484,0x21,0x31
484,0x11,0x31
484,0xb1,0x31
485,0xfe,0xfa
485,0xf2,0xfa
485,0xea,0xfa
485,0xda,0xfa
486,0xc0,0xc1
486,0x81,0xc1
487,0xe1,0xe0
487,0xe2,0xe0
487,0xe8,0xe0
488,0x04,0x05
488,0x01,0x05
490,0xfb,0xfa
490,0xf8,0xfa
490,0xfe,0xfa
491,0x00,0x01
491,0x03,0x01
491,0x05,0x01
491,0x09,0x01
491,0x11,0x01
491,0x21,0x01
491,0x41,0x01
491,0x81,0x01
493,0x84,0x85
493,0x87,0x85
493,0x81,0x85
493,0x8d,0x85
501,0x58,0x50
505,0x73,0xf3
506,0x45,0x41
508,0x7f,0x6f
508,0x4f,0x6f
509,0x1e,0x16
509,0x06,0x16
509,0x36,0x16
509,0x56,0x16
511,0x45,0x41
513,0x7f,0x6f
513,0x4f,0x6f
514,0x56,0x5e
514,0x4e,0x5e
514,0x7e,0x5e
515,0x11,0x10
515,0x12,0x10
515,0x14,0x10
515,0x18,0x10
515,0x00,0x10
515,0x30,0x10
515,0x50,0x10
515,0x90,0x10
518,0x54,0x14
519,0x11,0x01
519,0x21,0x01
519,0x41,0x01
519,0x81,0x01
521,0x10,0x11
521,0x13,0x11
521,0x15,0x11
521,0x19,0x11
521,0x51,0x11
521,0x91,0x11
522,0x1a,0x12
522,0x02,0x12
522,0x32,0x12
522,0x52,0x12
524,0x10,0x11
524,0x13,0x11
524,0x15,0x11
524,0x19,0x11
524,0x51,0x11
524,0x91,0x11
525,0x52,0x5a
525,0x7a,0x5a
526,0x11,0x10
526,0x12,0x10
526,0x14,0x10
526,0x18,0x10
526,0x00,0x10
526,0x30,0x10
526,0x50,0x10
526,0x90,0x10
527,0xa9,0xe9
539,0x38,0x28
543,0x73,0xf3
545,0x7f,0x6f
545,0x4f,0x6f
546,0x64,0x65
546,0x61,0x65
546,0x6d,0x65
546,0x75,0x65
546,0x45,0x65
547,0xa1,0xa0
547,0xa2,0xa0
547,0xa4,0xa0
547,0xa8,0xa0
547,0xb0,0xa0
547,0x80,0xa0
547,0xe0,0xa0
547,0x20,0xa0
550,0x7f,0x6f
551,0x69,0x6d
551,0x65,0x6d
551,0x7d,0x6d
551,0x4d,0x6d
551,0xed,0x6d
552,0xb1,0xb0
552,0xb2,0xb0
552,0xb4,0xb0
552,0xb8,0xb0
552,0xa0,0xb0
552,0x90,0xb0
552,0xf0,0xb0
552,0x30,0xb0
554,0x10,0x11
554,0x13,0x11
554,0x15,0x11
554,0x19,0x11
554,0x01,0x11
554,0x51,0x11
554,0x91,0x11
555,0x21,0x20
555,0x22,0x20
555,0x28,0x20
555,0x30,0x20
555,0x00,0x20
555,0x60,0x20
557,0x10,0x11
557,0x13,0x11
557,0x15,0x11
557,0x19,0x11
557,0x51,0x11
557,0x91,0x11
558,0x69,0x68
558,0x6a,0x68
558,0x60,0x68
558,0x78,0x68
559,0x11,0x10
559,0x12,0x10
559,0x14,0x10
559,0x18,0x10
559,0x00,0x10
559,0x90,0x10
581,0x5d,0x5c
581,0x5e,0x5c
581,0x58,0x5c
582,0x40,0x41
583,0x5f,0x5d
583,0x59,0x5d
588,0x5f,0x5d
588,0x59,0x5d
593,0x45,0x41
595,0x7f,0x6f
595,0x4f,0x6f
596,0x3e,0x36
596,0x26,0x36
596,0x16,0x36
596,0x76,0x36
598,0x45,0x41
600,0x7f,0x6f
600,0x4f,0x6f
601,0x76,0x7e
601,0x6e,0x7e
601,0x5e,0x7e
602,0x11,0x10
602,0x12,0x10
602,0x14,0x10
602,0x18,0x10
602,0x00,0x10
602,0x30,0x10
602,0x50,0x10
602,0x90,0x10
603,0x81,0x83
605,0x49,0x48
605,0x4a,0x48
609,0x03,0x01
609,0x05,0x01
609,0x09,0x01
609,0x11,0x01
609,0x21,0x01
609,0x41,0x01
609,0x81,0x01
611,0x10,0x11
611,0x13,0x11
611,0x15,0x11
611,0x19,0x11
611,0x51,0x11
611,0x91,0x11
612,0x38,0x30
612,0x20,0x30
612,0x10,0x30
612,0x70,0x30
614,0x10,0x11
614,0x13,0x11
614,0x15,0x11
614,0x19,0x11
614,0x31,0x11
614,0x51,0x11
614,0x91,0x11
615,0x70,0x78
615,0x68,0x78
615,0x58,0x78
616,0x11,0x10
616,0x12,0x10
616,0x14,0x10
616,0x18,0x10
616,0x00,0x10
616,0x90,0x10
